iter	Passed	Remaining
0	1	186
1	3	164
2	4	158
3	6	145
4	7	144
5	9	142
6	10	140
7	12	138
8	13	137
9	15	135
10	16	134
11	18	132
12	19	130
13	20	128
14	22	126
15	23	125
16	25	123
17	26	121
18	28	119
19	29	118
20	31	116
21	32	114
22	33	113
23	35	111
24	36	110
25	38	108
26	39	106
27	40	104
28	41	102
29	43	100
30	44	99
31	45	97
32	47	95
33	48	93
34	49	92
35	50	90
36	52	88
37	53	87
38	54	85
39	55	83
40	57	82
41	57	79
42	58	78
43	60	76
44	61	75
45	62	73
46	63	72
47	65	70
48	66	69
49	67	67
50	68	66
51	70	64
52	71	63
53	72	61
54	73	60
55	74	58
56	75	57
57	77	55
58	78	54
59	79	53
60	81	51
61	82	50
62	83	49
63	84	47
64	86	46
65	87	45
66	88	43
67	89	42
68	91	41
69	92	39
70	93	38
71	95	36
72	96	35
73	97	34
74	98	32
75	100	31
76	101	30
77	102	28
78	103	27
79	105	26
80	106	24
81	107	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	115	15
88	117	14
89	118	13
90	119	11
91	121	10
92	122	9
93	123	7
94	125	6
95	126	5
96	127	3
97	129	2
98	130	1
99	131	0
